DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:40;56;67;0;0;15431;36740;9730;22961;16766;10989;21480
13.04.2018 19:40;64;81;0;0;18211;24499;12546;42291;14490;11272;18619
13.04.2018 19:40;66;97;0;0;22650;8086;19807;7971;13079;9264;14731
13.04.2018 19:40;67;88;0;0;26878;3336;8068;7545;9589;19675;14165
13.04.2018 19:40;67;81;0;0;73510;39303;16014;9132;39490;14454;22996
13.04.2018 19:40;67;70;0;0;69515;14922;12096;19779;25917;9517;27438
13.04.2018 19:40;70;70;0;0;2725;2666;3036;3255;3160;3303;7306
13.04.2018 19:40;75;74;0;0;9137;3080;1612;1831;5009;1393;7819
13.04.2018 19:40;63;64;0;0;33449;7675;1800;5421;3826;3588;12196
13.04.2018 19:40;51;60;0;0;186742;27945;2324;6209;14273;14856;40450
13.04.2018 19:40;34;51;0;0;305113;75425;32098;32315;16149;32051;15404
13.04.2018 19:40;24;43;0;0;33694;2353;4880;11921;5342;2974;5754
13.04.2018 19:40;29;63;0;0;9013;54941;31117;10549;13704;13576;31271
13.04.2018 19:40;38;60;0;0;55966;6920;5070;21433;13235;5126;6255
13.04.2018 19:40;44;50;0;0;193200;13450;28120;16132;21692;9728;6849
13.04.2018 19:40;44;66;0;0;5633;5520;5353;4212;2467;1083;3034
13.04.2018 19:40;30;48;0;0;81972;16918;17351;2546;3553;8131;3772
13.04.2018 19:40;20;51;0;0;242687;24355;22977;23128;12288;24687;22415
13.04.2018 19:40;13;53;0;0;165965;27448;15095;7088;9224;5724;6446
13.04.2018 19:40;17;41;0;0;84911;12824;29753;48498;27078;35508;16366
13.04.2018 19:40;34;44;0;0;58442;40912;17580;25924;23615;7216;15044
13.04.2018 19:40;47;54;0;0;52073;36390;8586;20902;18791;13446;28756
13.04.2018 19:40;57;66;0;0;28566;23552;14079;16441;12354;14078;47759
13.04.2018 19:40;54;75;0;0;60335;36554;20012;19145;17477;37837;17387
13.04.2018 19:40;56;74;0;0;10256;6284;2551;3760;4022;2453;2622
13.04.2018 19:40;51;61;0;0;29099;2322;3391;8303;4509;3960;5046
13.04.2018 19:40;47;60;0;0;89748;73145;6520;23209;14696;9472;47345
13.04.2018 19:40;43;74;0;0;21940;87693;21975;18817;15997;7308;55239
13.04.2018 19:40;41;66;0;0;82904;7125;24386;18232;17081;19054;38744
13.04.2018 19:40;44;80;0;0;11346;2285;8478;6685;4331;5253;10717
13.04.2018 19:40;47;61;0;0;45478;2914;3076;5014;5306;2949;10663
13.04.2018 19:40;41;35;0;0;125964;16552;5584;4315;9265;13437;75251
13.04.2018 19:40;34;35;0;0;163291;23249;29390;14263;12875;10080;4055
13.04.2018 19:40;37;34;0;0;76765;35460;22258;14922;50062;28934;20602
13.04.2018 19:40;43;41;0;0;38129;5300;8568;3042;12163;7504;9201
13.04.2018 19:40;57;48;0;0;19394;7435;2184;6490;10480;4009;10635
13.04.2018 19:40;64;44;0;0;17072;1682;2558;2090;2356;2110;6460
